,count
Rui Machado,30
Bjorn Phau,30
Rajeev Ram,30
Potito Starace,29
Sam Querrey,29
Jimmy Wang,29
Max Mirnyi,29
Kristian Pless,29
Jose Rubin Statham,29
Gouichi Motomura,29
Jan Michael Gambill,29
Agustin Calleri,28
Julien Benneteau,28
Luis Horna,28
Thiemo De Bakker,28
Flavio Saretta,28
Jose Acasuso,28
Jerzy Janowicz,28
Thomaz Bellucci,28
Michal Przysiezny,28
Ryan Harrison,28
Mischa Zverev,27
Wayne Arthurs,27
Daniel King Turner,27
Marcel Felder,26
Ivan Miranda,26
Ze Zhang,26
Di Wu,26
Arnaud Clement,26
Andis Juska,26
Jiri Novak,26
Jeremy Chardy,26
Noam Okun,26
Michael Llodra,25
Joao Sousa,25
Wesley Moodie,25
Lukas Lacko,25
Marcelo Rios,25
Andre Agassi,25
Milos Raonic,25
Peter Polansky,24
Miguel Gallardo Valles,24
Kevin Anderson,24
Magnus Norman,24
Wayne Black,24
Paul Goldstein,24
Michael Berrer,24
Albert Costa,24
Martin Verkerk,23
Kittipong Wachiramanowong,23
Alberto Martin,23
Daniel Garza,23
Dudi Sela,23
Michael Lammer,23
Greg Rusedski,23
Pablo Andujar,23
Martin Klizan,23
Igor Kunitsyn,23
Jhonson Garcia,23
Jose De Armas,23
Steve Darcis,23
Mark Nielsen,23
Irakli Labadze,23
Marko Tkalec,23
Rafael Arevalo,23
Alexandr Dolgopolov,23
Michael Kohlmann,23
Philipp Petzschner,23
Marius Copil,23
Davide Sanguinetti,23
Chris Guccione,23
Yevgeny Kafelnikov,23
Leander Paes,22
Ricardo Mello,22
Alex Bogdanovic,22
Blaz Kavcic,22
Christopher Rungkat,22
Teymuraz Gabashvili,22
Karim Maamoun,22
Ti Chen,22
Goran Ivanisevic,22
Mariano Zabaleta,21
Ben Qiang Zhu,21
Alex Bogomolov Jr,21
Hiu Tung Yu,21
Nicolas Thomann,21
Cyril Saulnier,21
Andrey Golubev,21
Alexander Peya,21
Tatsuma Ito,21
Fabrice Santoro,21
Scott Draper,21
Alexey Kedryuk,21
Justin Gimelstob,21
Mounir El Aarej,21
Daniel Evans,21
Gilles Kremer,21
Dusan Vemic,21
Jamie Baker,21
Suwandi Suwandi,20
Thomas Enqvist,20
Simon Larose,20
Amer Delic,20
Sebastien De Chaunac,20
Frederico Gil,20
Lamine Ouahab,20
Jan Frode Andersen,20
Bob Bryan,20
Giovanni Lapentti,20
Wayne Ferreira,20
Marc Gicquel,20
Kevin Kim,20
Jack Sock,20
Jonas Bjorkman,20
Daniel Nestor,20
Alexander Popp,20
Franco Squillari,20
Marcel Granollers,20
Martin Pedersen,20
Brian Baker,20
Mikhail Kukushkin,19
Stian Boretti,19
Antony Dupuis,19
Santiago Ventura,19
Kristof Vliegen,19
Arnaud Di Pasquale,19
Frantisek Cermak,19
Bobby Reynolds,19
Raemon Sluiter,19
Todor Enev,19
Hugo Armando,19
Konstantinos Economidis,19
Carlos Berlocq,19
Julio Cesar Campozano,19
Sjeng Schalken,19
Ruben Ramirez Hidalgo,18
Michel Kratochvil,18
Sergei Bubka,18
Grega Zemlja,18
Sargis Sargsian,18
Mehdi Tahiri,18
Michael Ryderstedt,18
Alejandro Hernandez,18
Marcelo Arevalo,18
Roberto Bautista Agut,18
Pablo Carreno Busta,18
Andrey Rublev,18
Evgeny Korolev,18
Ryan Sweeting,18
Illya Marchenko,18
Ilija Bozoljac,18
Steve Johnson,17
Mariano Puerta,17
Santiago Gonzalez,17
Karol Beck,17
Dominic Thiem,17
Nicolas Escude,17
Ivan Navarro,17
Luka Gregorc,17
Valentin Sanon,17
Woong Sun Jun,17
Peng Sun,17
Farrukh Dustov,17
Tim Smyczek,17
Prima Simpatiaji,17
David Goffin,17
Andreas Haider Maurer,17
Johnny Arcilla,17
Abdullah Maqdas,17
Michael Venus,17
Alex Calatrava,17
Mauricio Echazu,17
Adrian Mannarino,17
Jiri Vanek,17
Cesar Ramirez,17
Daniel Brands,16
Jesse Huta Galung,16
Juan Antonio Marin,16
Henri Laaksonen,16
Sergi Bruguera,16
Ivo Heuberger,16
Paul Capdeville,16
Robert Kendrick,16
Felix Mantilla,16
Richard Bloomfield,16
Nenad Zimonjic,16
Michael Leong,16
Sebo Kiss,16
Arvind Parmar,16
Andrey Kuznetsov,16
Lukas Rosol,16
Leonardo Tavares,16
Magnus Larsson,16
Lars Burgsmuller,16
Markus Hipfl,15
George Bastl,15
Martin Fischer,15
Jamie Delgado,15
Izak Van Der Merwe,15
Carlos Avellan,15
Galo Blanco,15
Ricardas Berankis,15
Radu Albot,15
Marsel Ilhan,15
Harsh Mankad,15
Alexander Blom,15
Florent Serra,15
Daniel Gimeno Traver,15
Yuki Bhambri,15
Jurgen Zopp,15
Alexandros Jakupovic,15
Renzo Furlan,15
Bernardo Mota,15
Federico Delbonis,15
Yong Kyu Lim,15
Leonardo Mayer,15
Slimane Saoudi,15
Edouard Roger Vasselin,14
Pablo Gonzalez,14
Karim Alayli,14
Uladzimir Ignatik,14
Fernando Vicente,14
Pete Sampras,14
Eric Taino,14
Andre Sa,14
Jimy Szymanski,14
Darian King,14
Werner Eschauer,14
Yu Jr Wang,14
Febi Widhiyanto,14
Oleg Ogorodov,14
Genius Chidzikwe,14
Scoville Jenkins,14
Albert Portas,14
Alex Corretja,14
Vadim Kutsenko,14
Lado Chikhladze,14
Ivan Dodig,14
Bohdan Ulihrach,14
Kornel Bardoczky,14
James Mcgee,14
Dusan Lajovic,14
Adrian Garcia,14
Antonio Veic,14
Michael Russell,13
Peter Luczak,13
Tuomas Ketola,13
Jerome Golmard,13
Gilles Elseneer,13
Attila Balazs,13
Orest Tereshchuk,13
Zack Fleishman,13
Treat Conrad Huey,13
Todd Reid,13
Marc Lopez,13
Alan Mackin,13
Damir Dzumhur,13
Conor Niland,13
Shao Xuan Zeng,13
Roko Karanusic,13
Ivo Minar,13
Lukas Dlouhy,13
Dzmitry Zhyrmont,13
Sherif Sabry,13
Mike Scheidweiler,13
Lazar Magdincev,13
Glenn Weiner,13
Claude Ngoran,13
Jean Julien Rojer,13
Mate Pavic,13
Marc Kevin Goellner,13
Denis Gremelmayr,13
Phillip King,13
Andy Ram,13
Gergely Kisgyorgy,13
Francisco Rodriguez,13
Paolo Lorenzi,13
Andreas Beck,13
Malek Jaziri,12
Marcos Daniel,12
Igor Sijsling,12
Edgardo Massa,12
Jan Vacek,12
Jose Hernandez,12
Elbert Sie,12
Jeff Morrison,12
Aljaz Bedene,12
Julian Reister,12
Gianluca Naso,12
Juho Paukku,12
David Souto,12
Wayne Odesnik,12
Yuichi Sugita,12
Thierry Ascione,12
Michal Mertinak,12
Jesse Levine,12
Christian Garin,12
Mariusz Fyrstenberg,12
